sample_name,case_id,image_id,feature_name,lesion_pixels,lesion_ratio,lesion_mean_activation,background_mean_activation,lesion_background_diff,lesion_background_ratio,pred_prob_on_lesion
003__0006__0006_019,0006,0006_019,ct4,622.0,0.00237274169921875,0.21847696089667906,0.26607259021229573,-0.04759562931561667,0.8211178788553877,0.8862465616207797
003__0006__0006_019,0006,0006_019,pet4,622.0,0.00237274169921875,0.11899956706252512,0.12482137317797355,-0.005821806115448427,0.9533589002650408,0.8862465616207797
004__0006__0006_003,0006,0006_003,ct1,150.0,0.00057220458984375,0.3389707946777344,0.3083090941491026,0.030661700528631763,1.099451171277495,0.8583872477213542
004__0006__0006_003,0006,0006_003,pet1,150.0,0.00057220458984375,0.15245997111002604,0.43297425227295283,-0.28051428116292676,0.3521224883689232,0.8583872477213542
004__0006__0006_003,0006,0006_003,ct2,150.0,0.00057220458984375,0.5132567850748698,0.92653618737452,-0.4132794022996502,0.5539522277367928,0.8583872477213542
004__0006__0006_003,0006,0006_003,pet2,150.0,0.00057220458984375,0.4930097961425781,0.7281757287380627,-0.23516593259548457,0.677047828821444,0.8583872477213542
004__0006__0006_003,0006,0006_003,ct3,150.0,0.00057220458984375,0.11355503082275391,0.027113786628939977,0.08644124419381394,4.188091924480612,0.8583872477213542
004__0006__0006_003,0006,0006_003,pet3,150.0,0.00057220458984375,0.17132771809895833,0.009913611153785964,0.16141410694517236,17.28206961532166,0.8583872477213542
004__0006__0006_003,0006,0006_003,ct4,150.0,0.00057220458984375,0.2723778533935547,0.35516125250005726,-0.08278339910650256,0.7669132020349285,0.8583872477213542
004__0006__0006_003,0006,0006_003,pet4,150.0,0.00057220458984375,0.1618333943684896,0.18460462715749215,-0.02277123278900256,0.876648634762683,0.8583872477213542
005__0006__0006_022,0006,0006_022,ct1,529.0,0.002017974853515625,0.3277961139642899,0.3092069931005485,0.018589120863741426,1.0601186948501407,0.8734873319167946
005__0006__0006_022,0006,0006_022,pet1,529.0,0.002017974853515625,0.13744981617918536,0.4756440762188712,-0.3381942600396859,0.2889761968063212,0.8734873319167946
005__0006__0006_022,0006,0006_022,ct2,529.0,0.002017974853515625,0.5616276241655836,0.9471100185386924,-0.3854823943731087,0.5929909019779199,0.8734873319167946
