rank,sample_id,group,teacher_dice,student_dice,dice_gap,teacher_iou,student_iou,teacher_acc,student_acc,teacher_hd95,student_hd95,hd95_gap
3725,985,easy,0.8478,0.8609,-0.0131,0.7358,0.7558,0.9959,0.9965,4.41,4.00,-0.41
3726,1570,easy,0.9187,0.9319,-0.0132,0.8497,0.8725,0.9924,0.9924,1.00,1.00,0.00
3727,731,easy,0.8503,0.8636,-0.0132,0.7396,0.7599,0.9611,0.9611,3.61,3.16,-0.44
3728,1110,easy,0.8494,0.8627,-0.0133,0.7383,0.7586,0.9322,0.9257,2.83,3.61,0.78
3729,3486,easy,0.9222,0.9355,-0.0133,0.8556,0.8788,0.9917,0.9752,3.16,2.83,-0.33
3730,1560,easy,0.9175,0.9309,-0.0133,0.8476,0.8706,0.9709,0.9629,1.00,1.00,0.00
3731,605,easy,0.8015,0.8148,-0.0133,0.6687,0.6875,0.9909,0.9954,2.24,2.00,-0.24
3732,3566,easy,0.8976,0.9110,-0.0134,0.8141,0.8365,0.9422,0.9379,2.83,2.24,-0.59
3733,1398,easy,0.9280,0.9415,-0.0135,0.8657,0.8894,0.9867,0.9819,1.00,1.00,0.00
3734,4171,easy,0.3736,0.3871,-0.0135,0.2297,0.2400,0.6400,0.6318,24.76,26.17,1.41
3735,4478,easy,0.4714,0.4849,-0.0135,0.3084,0.3201,0.6670,0.6699,26.83,25.51,-1.32
3736,402,easy,0.9190,0.9325,-0.0136,0.8501,0.8736,0.9570,0.9497,7.48,7.98,0.50
3737,734,easy,0.8686,0.8822,-0.0136,0.7678,0.7892,0.9764,0.9735,2.88,2.83,-0.05
3738,1108,easy,0.8609,0.8744,-0.0136,0.7557,0.7769,0.9279,0.9264,6.21,6.24,0.03
3739,3693,easy,0.7845,0.7981,-0.0136,0.6454,0.6640,0.8489,0.8362,10.01,9.22,-0.79
3740,2011,easy,0.6988,0.7124,-0.0137,0.5370,0.5533,0.9978,0.9837,6.05,6.00,-0.05
3741,1569,easy,0.9375,0.9513,-0.0138,0.8824,0.9071,0.9769,0.9797,1.00,1.00,0.00
3742,1694,easy,0.9208,0.9347,-0.0139,0.8532,0.8774,0.9947,0.9947,1.00,1.00,0.00
3743,3788,easy,0.7562,0.7701,-0.0139,0.6080,0.6262,0.9424,0.9411,9.15,9.61,0.46
3744,1399,easy,0.9478,0.9617,-0.0139,0.9008,0.9263,0.9911,0.9856,1.41,1.00,-0.41
3745,3855,easy,0.5556,0.5695,-0.0140,0.3846,0.3981,0.9786,0.9573,4.46,4.00,-0.46
3746,3833,easy,0.1239,0.1379,-0.0140,0.0660,0.0741,0.9994,0.9757,12.32,11.86,-0.46
3747,842,easy,0.8410,0.8551,-0.0140,0.7257,0.7469,0.9249,0.9229,14.11,13.18,-0.93
3748,4094,easy,0.8360,0.8501,-0.0141,0.7182,0.7393,0.8995,0.9492,5.85,4.47,-1.38
3749,1029,easy,0.9414,0.9555,-0.0141,0.8893,0.9147,0.9626,0.9695,3.00,2.24,-0.76
3750,338,easy,0.8775,0.8916,-0.0141,0.7817,0.8043,0.9759,0.9461,4.00,6.32,2.32
3751,1392,easy,0.8986,0.9127,-0.0141,0.8158,0.8394,0.9282,0.9475,1.41,1.21,-0.21
3752,1630,easy,0.6667,0.6809,-0.0142,0.5000,0.5161,0.9705,0.9705,2.24,2.00,-0.24
3753,214,easy,0.8315,0.8457,-0.0142,0.7116,0.7326,0.8674,0.8782,10.00,9.22,-0.78
3754,221,easy,0.8576,0.8718,-0.0143,0.7506,0.7728,0.9914,0.9824,3.11,4.27,1.15
3755,1118,easy,0.6610,0.6753,-0.0143,0.4937,0.5098,0.7549,0.7549,5.27,6.00,0.73
3756,2143,easy,0.6667,0.6810,-0.0143,0.5000,0.5163,0.7789,0.7921,7.55,6.93,-0.62
3757,62,easy,0.9474,0.9617,-0.0143,0.9000,0.9262,0.9687,0.9708,1.00,1.00,0.00
3758,1257,easy,0.8681,0.8825,-0.0143,0.7670,0.7897,0.9100,0.9222,6.32,4.55,-1.77
3759,1023,easy,0.9447,0.9590,-0.0144,0.8952,0.9213,0.9661,0.9718,3.00,1.68,-1.32
3760,2101,easy,0.7606,0.7750,-0.0144,0.6136,0.6327,0.9917,0.9938,6.34,6.34,0.00
3761,4317,easy,0.5350,0.5495,-0.0145,0.3652,0.3788,0.6826,0.6894,8.06,8.06,0.00
3762,3599,easy,0.8035,0.8180,-0.0145,0.6715,0.6920,0.9960,0.9759,4.24,4.47,0.23
3763,1690,easy,0.8326,0.8472,-0.0145,0.7132,0.7348,0.9898,0.9898,2.00,2.00,0.00
3764,865,easy,0.9305,0.9451,-0.0146,0.8699,0.8958,0.9913,0.9847,2.24,2.24,0.00
3765,203,easy,0.9124,0.9271,-0.0146,0.8390,0.8640,0.9900,0.9876,1.00,1.00,0.00
3766,1291,easy,0.8359,0.8506,-0.0146,0.7181,0.7400,0.8690,0.8728,6.71,6.00,-0.71
3767,3674,easy,0.6856,0.7002,-0.0146,0.5216,0.5387,0.8112,0.8046,11.01,9.90,-1.11
3768,4054,easy,0.1793,0.1939,-0.0146,0.0985,0.1074,0.6665,0.7049,36.77,36.77,0.00
3769,3770,easy,0.5744,0.5891,-0.0147,0.4029,0.4175,0.9472,0.9132,9.90,14.26,4.36
3770,409,easy,0.8436,0.8584,-0.0148,0.7296,0.7520,0.8688,0.8831,9.96,8.22,-1.74
3771,362,easy,0.8924,0.9072,-0.0148,0.8057,0.8301,0.9668,0.9568,3.00,3.15,0.15
3772,386,easy,0.8841,0.8989,-0.0149,0.7922,0.8164,0.9121,0.9206,2.00,2.00,0.00
3773,4310,easy,0.5135,0.5284,-0.0149,0.3455,0.3591,0.6727,0.6795,8.94,8.91,-0.03
3774,3648,easy,0.5094,0.5244,-0.0149,0.3418,0.3553,0.7320,0.6804,24.48,29.51,5.03
3775,3339,easy,0.7330,0.7479,-0.0149,0.5785,0.5974,0.8987,0.8267,12.65,4.00,-8.65
3776,199,easy,0.8284,0.8434,-0.0150,0.7071,0.7292,0.9928,0.9928,4.51,3.84,-0.68
3777,408,easy,0.8283,0.8433,-0.0150,0.7069,0.7290,0.8565,0.8771,4.58,4.28,-0.30
3778,1524,easy,0.8662,0.8812,-0.0150,0.7639,0.7876,0.9758,0.9759,2.21,1.97,-0.24
3779,50,easy,0.9273,0.9423,-0.0150,0.8644,0.8909,0.9904,0.9711,1.00,1.00,0.00
3780,3205,easy,0.6111,0.6262,-0.0150,0.4400,0.4558,0.7212,0.7279,11.39,11.70,0.31
3781,3473,easy,0.8830,0.8981,-0.0151,0.7905,0.8150,0.9150,0.9224,10.74,11.66,0.92
3782,3850,easy,0.8453,0.8604,-0.0151,0.7321,0.7550,0.9903,0.9839,2.24,2.14,-0.09
3783,698,easy,0.8195,0.8347,-0.0151,0.6943,0.7162,0.9738,0.9650,8.43,7.13,-1.30
3784,367,easy,0.8989,0.9140,-0.0151,0.8164,0.8417,0.9871,0.9621,3.61,3.84,0.24
3785,3055,easy,0.6021,0.6173,-0.0151,0.4307,0.4464,0.9587,0.9523,7.07,6.08,-0.99
3786,3562,easy,0.9258,0.9410,-0.0151,0.8619,0.8885,0.9676,0.9654,2.24,2.00,-0.24
3787,1697,easy,0.7810,0.7961,-0.0152,0.6406,0.6613,0.9881,0.9881,1.41,1.00,-0.41
3788,66,easy,0.8803,0.8954,-0.0152,0.7861,0.8107,0.9503,0.9536,1.41,1.88,0.47
3789,3309,easy,0.7195,0.7347,-0.0152,0.5619,0.5806,0.7947,0.8157,6.39,5.80,-0.58
3790,1431,easy,0.7884,0.8037,-0.0152,0.6508,0.6718,0.9358,0.9460,3.61,2.95,-0.66
3791,4293,easy,0.5532,0.5684,-0.0152,0.3824,0.3971,0.6912,0.6985,8.00,8.00,0.00
3792,571,easy,0.7425,0.7578,-0.0152,0.5905,0.6100,0.9492,0.9420,2.24,2.21,-0.02
3793,206,easy,0.9028,0.9180,-0.0153,0.8228,0.8485,0.9802,0.9827,1.41,1.41,0.00
3794,941,easy,0.8525,0.8679,-0.0155,0.7429,0.7667,0.9941,0.9918,5.14,4.32,-0.82
3795,3718,easy,0.5817,0.5972,-0.0155,0.4102,0.4258,0.9996,0.9963,6.32,6.08,-0.24
3796,956,easy,0.8595,0.8750,-0.0155,0.7536,0.7778,0.9450,0.9503,4.12,3.70,-0.42
3797,197,easy,0.8783,0.8939,-0.0155,0.7830,0.8081,0.9825,0.9651,1.41,2.00,0.59
3798,4088,easy,0.8807,0.8963,-0.0156,0.7869,0.8121,0.9034,0.9527,5.39,6.00,0.61
3799,3665,easy,0.7248,0.7405,-0.0157,0.5684,0.5880,0.9380,0.8186,19.92,6.71,-13.22
3800,4472,easy,0.6335,0.6492,-0.0157,0.4636,0.4806,0.7459,0.7536,27.44,28.17,0.73
3801,4036,easy,0.6125,0.6282,-0.0157,0.4414,0.4579,0.9803,0.9803,2.24,2.00,-0.24
3802,745,easy,0.8701,0.8859,-0.0158,0.7701,0.7952,0.9295,0.9231,2.00,2.00,0.00
3803,1067,easy,0.9004,0.9163,-0.0159,0.8189,0.8455,0.9684,0.9684,1.27,1.00,-0.27
3804,969,easy,0.9246,0.9404,-0.0159,0.8597,0.8876,0.9904,0.9715,2.14,2.00,-0.14
3805,942,easy,0.8824,0.8983,-0.0159,0.7895,0.8153,0.9917,0.9845,3.16,2.83,-0.33
3806,1344,easy,0.8387,0.8547,-0.0160,0.7222,0.7463,0.8838,0.8937,15.26,15.62,0.36
3807,4313,easy,0.4946,0.5106,-0.0160,0.3286,0.3429,0.6643,0.6714,9.97,9.57,-0.40
3808,3668,easy,0.6807,0.6968,-0.0161,0.5160,0.5347,0.8753,0.7959,19.01,8.49,-10.53
3809,1466,easy,0.8555,0.8717,-0.0161,0.7475,0.7725,0.9857,0.9831,3.00,2.24,-0.76
3810,3635,easy,0.5948,0.6109,-0.0161,0.4233,0.4398,0.8026,0.7208,23.82,15.50,-8.31
3811,3688,easy,0.8410,0.8571,-0.0162,0.7256,0.7500,0.9040,0.9134,7.81,10.68,2.87
3812,3421,easy,0.8421,0.8583,-0.0162,0.7273,0.7518,0.8852,0.8926,2.66,2.00,-0.66
3813,4167,easy,0.6494,0.6656,-0.0162,0.4809,0.4988,0.8020,0.7833,9.21,9.90,0.69
3814,3536,easy,0.8960,0.9122,-0.0162,0.8116,0.8386,0.9963,0.9916,5.06,4.30,-0.76
3815,1572,easy,0.8675,0.8837,-0.0163,0.7660,0.7917,0.9286,0.9524,1.00,1.00,0.00
3816,204,easy,0.8908,0.9071,-0.0163,0.8031,0.8300,0.9928,0.9857,1.00,1.00,0.00
3817,3290,easy,0.7945,0.8108,-0.0163,0.6591,0.6818,0.8295,0.8409,5.00,4.47,-0.53
3818,589,easy,0.8881,0.9044,-0.0163,0.7987,0.8255,0.9767,0.9767,1.41,1.08,-0.33
3819,967,easy,0.9275,0.9439,-0.0163,0.8649,0.8937,0.9947,0.9744,2.00,1.41,-0.59
3820,2612,easy,0.6390,0.6554,-0.0164,0.4695,0.4875,0.7348,0.7437,34.45,34.45,0.00
3821,1315,easy,0.7791,0.7956,-0.0165,0.6381,0.6606,0.8895,0.9186,2.13,2.00,-0.13
3822,4099,easy,0.8324,0.8489,-0.0165,0.7129,0.7375,0.8741,0.9578,5.88,4.47,-1.41
3823,986,easy,0.8896,0.9061,-0.0166,0.8011,0.8284,0.9721,0.9610,3.00,3.27,0.27
3824,3547,easy,0.9053,0.9219,-0.0166,0.8270,0.8552,0.9970,0.9767,5.21,4.00,-1.21
3825,148,easy,0.7742,0.7910,-0.0168,0.6316,0.6542,0.8636,0.8535,7.29,7.45,0.16
3826,1469,easy,0.7460,0.7628,-0.0168,0.5949,0.6166,0.9616,0.9682,2.24,2.00,-0.24
3827,1432,easy,0.8104,0.8273,-0.0169,0.6812,0.7054,0.8499,0.8664,5.83,5.00,-0.83
3828,3476,easy,0.8939,0.9108,-0.0169,0.8082,0.8363,0.9480,0.9426,7.06,8.00,0.94
3829,1037,easy,0.9226,0.9395,-0.0169,0.8563,0.8860,0.9460,0.9535,4.62,4.19,-0.43
3830,562,easy,0.8928,0.9097,-0.0169,0.8063,0.8344,0.9810,0.9867,1.41,1.41,0.00
3831,3819,easy,0.8535,0.8705,-0.0170,0.7444,0.7707,0.9510,0.9380,6.32,7.81,1.49
3832,2146,easy,0.7560,0.7732,-0.0172,0.6078,0.6303,0.8050,0.8174,7.00,6.71,-0.29
3833,4065,easy,0.5783,0.5955,-0.0172,0.4067,0.4239,0.8184,0.7306,21.24,11.64,-9.60
3834,1058,easy,0.8125,0.8298,-0.0173,0.6842,0.7091,0.9535,0.9535,1.00,1.00,0.00
3835,2305,easy,0.8123,0.8296,-0.0173,0.6839,0.7089,0.8511,0.8639,11.62,10.81,-0.82
3836,425,easy,0.8307,0.8480,-0.0173,0.7104,0.7361,0.8716,0.8948,5.94,5.10,-0.84
3837,3540,easy,0.8957,0.9130,-0.0174,0.8111,0.8400,0.9963,0.9922,4.37,4.00,-0.37
3838,3472,easy,0.9031,0.9205,-0.0174,0.8232,0.8526,0.9764,0.9665,3.43,2.83,-0.60
3839,569,easy,0.8038,0.8213,-0.0174,0.6720,0.6967,0.9200,0.9250,1.62,1.41,-0.21
3840,459,easy,0.7290,0.7466,-0.0175,0.5736,0.5956,0.8766,0.8633,4.95,5.00,0.05
3841,2895,easy,0.7192,0.7368,-0.0175,0.5615,0.5832,0.7834,0.7923,9.00,7.83,-1.17
3842,4041,easy,0.3778,0.3953,-0.0176,0.2329,0.2464,0.9999,0.9999,3.16,3.16,0.00
3843,4419,easy,0.7291,0.7469,-0.0178,0.5737,0.5960,0.9410,0.9136,7.60,5.91,-1.69
3844,372,easy,0.7099,0.7276,-0.0178,0.5502,0.5719,0.9233,0.9084,8.34,8.17,-0.16
3845,958,easy,0.8729,0.8908,-0.0178,0.7745,0.8031,0.9663,0.9637,3.61,2.83,-0.78
3846,257,easy,0.7548,0.7726,-0.0179,0.6061,0.6295,0.9889,0.9902,4.47,4.26,-0.21
3847,2390,easy,0.8922,0.9101,-0.0179,0.8054,0.8350,0.9124,0.9261,4.00,4.00,0.00
3848,1306,easy,0.7495,0.7674,-0.0179,0.5993,0.6226,0.9340,0.8901,4.32,4.02,-0.30
3849,2147,easy,0.8194,0.8373,-0.0179,0.6940,0.7201,0.8470,0.8601,4.04,4.04,0.00
3850,2284,easy,0.1727,0.1907,-0.0180,0.0945,0.1054,0.7801,0.7298,28.29,36.16,7.86
3851,355,easy,0.9376,0.9556,-0.0181,0.8824,0.9150,0.9953,0.9832,2.13,1.41,-0.72
3852,1982,easy,0.5941,0.6122,-0.0182,0.4225,0.4412,0.7344,0.7344,17.77,17.77,0.00
3853,4316,easy,0.5276,0.5459,-0.0183,0.3584,0.3754,0.6792,0.6877,8.11,8.06,-0.05
3854,733,easy,0.8528,0.8711,-0.0183,0.7434,0.7717,0.9645,0.9622,2.24,2.00,-0.24
3855,4130,easy,0.4384,0.4567,-0.0183,0.2807,0.2959,0.9443,0.9027,5.67,6.54,0.87
3856,611,easy,0.8015,0.8199,-0.0184,0.6687,0.6948,0.9999,0.9999,2.12,2.00,-0.12
3857,790,easy,0.9265,0.9449,-0.0184,0.8631,0.8956,0.9446,0.9647,2.00,1.41,-0.59
3858,3054,easy,0.7320,0.7504,-0.0184,0.5772,0.6005,0.8840,0.8737,11.86,12.08,0.22
3859,3786,easy,0.7911,0.8096,-0.0185,0.6543,0.6800,0.9704,0.9688,8.28,8.58,0.30
3860,174,easy,0.7534,0.7719,-0.0185,0.6044,0.6286,0.8416,0.8416,2.65,2.71,0.06
